ID,Book,Rating,num_rating
73,"The Fountains of Paradise, Arthur C. Clarke",really liked it,63
73,"California, Edan Lepucki",really liked it,63
73,"Anathem, Neal Stephenson",really liked it,63
73,"Reamde, Neal Stephenson",really liked it,63
73,"The Gods Themselves, Isaac Asimov",liked it,63
73,"Rainbows End, Vernor Vinge",really liked it,63
73,"Ender's Shadow, Orson Scott Card",liked it,63
73,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch, Terry Pratchett",really liked it,63
73,"Schismatrix Plus, Bruce Sterling",it was amazing,63
73,"Hard-Boiled Wonderland and the End of the World, Haruki Murakami",really liked it,63
73,"The Martian, Andy Weir",really liked it,63
73,"Childhood's End, Arthur C. Clarke",really liked it,63
73,"The Underground Railroad, Colson Whitehead",liked it,63
73,"The Difference Engine, William Gibson",liked it,63
73,"Aurora, Mark W. Tiedemann",really liked it,63
73,"Aurora, Mark W. Tiedemann",really liked it,63
73,"Freedom, Jay Kirkpatrick",it was amazing,63
73,"Freedom, Jay Kirkpatrick",it was amazing,63
73,"Agent to the Stars, John Scalzi",really liked it,63
73,"The Time Machine, H.G. Wells",liked it,63
77,"Here, Ella James",really liked it,6
77,"A Brief History of Time, Stephen Hawking",liked it,6
77,"The Hobbit, or There and Back Again, J.R.R. Tolkien",really liked it,6
77,"The Martian, Andy Weir",really liked it,6
77,"Patience, Daniel Clowes",really liked it,6
77,"Watchmen, Alan Moore",really liked it,6
91,"Never Let Me Go, Kazuo Ishiguro",liked it,8
91,"The Stranger, K.A. Applegate",really liked it,8
91,"What the Wind Knows, Amy Harmon",liked it,8
91,"Fahrenheit 451, Ray Bradbury",it was amazing,8
91,"1984, George Orwell",really liked it,8
91,"The Alchemist, Paolo Bacigalupi",it was amazing,8
97,"The Phantom Tollbooth, Norton Juster",it was amazing,3
97,"Fahrenheit 451, Ray Bradbury",really liked it,3
97,"The Gods Themselves, Isaac Asimov",really liked it,3
100,"The Da Vinci Code, Dan Brown",really liked it,2
100,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,2
103,"Lord of the Flies, William Golding",really liked it,6
103,"The Alchemist, Paolo Bacigalupi",really liked it,6
103,"A Clockwork Orange, Anthony Burgess",it was amazing,6
103,"The Da Vinci Code, Dan Brown",really liked it,6
103,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,6
106,"Snow Crash, Neal Stephenson",really liked it,10
106,"The Amazing Adventures of Kavalier & Clay, Michael Chabon",really liked it,10
106,"Reamde, Neal Stephenson",really liked it,10
106,"Infinite Jest, David Foster Wallace",it was amazing,10
106,"Cryptonomicon, Neal Stephenson",it was amazing,10
106,"The Hobbit, or There and Back Again, J.R.R. Tolkien",it was amazing,10
106,"The Soul of a New Machine, Tracy Kidder",really liked it,10
106,"1984, George Orwell",really liked it,10
106,"The Road, Cormac McCarthy",liked it,10
106,"Atlas Shrugged, Ayn Rand",liked it,10
116,"Brave New World, Aldous Huxley",it was amazing,8
116,"Animal Farm, George Orwell",really liked it,8
116,"1984, George Orwell",it was amazing,8
116,"The Phantom Tollbooth, Norton Juster",it was amazing,8
116,"The Hobbit, or There and Back Again, J.R.R. Tolkien",really liked it,8
116,"Lord of the Flies, William Golding",really liked it,8
116,"Slaughterhouse-Five, Kurt Vonnegut Jr.",it was amazing,8
116,"Catch-22, Joseph Heller",it was amazing,8
117,"Agent to the Stars, John Scalzi",really liked it,3
117,"Redshirts, John Scalzi",really liked it,3
117,"The Thief, Megan Whalen Turner",really liked it,3
122,"The Alchemist, Paolo Bacigalupi",it was amazing,2
125,"The Three Stigmata of Palmer Eldritch, Philip K. Dick",liked it,8
125,"Against the Day, Thomas Pynchon",really liked it,8
125,"Infinite Jest, David Foster Wallace",really liked it,8
125,"The Road, Cormac McCarthy",liked it,8
125,"Snow Crash, Neal Stephenson",it was amazing,8
125,"Bleeding Edge, Thomas Pynchon",liked it,8
125,"Freedom, Jay Kirkpatrick",really liked it,8
125,"Freedom, Jay Kirkpatrick",really liked it,8
127,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch, Terry Pratchett",really liked it,19
127,"The Stand, Stephen King",liked it,19
127,"Batman: The Dark Knight Returns, Frank Miller",it was amazing,19
127,"American Gods, Neil Gaiman",it was amazing,19
127,"Kingdom Come, Mark Waid",liked it,19
127,"Kindred, Octavia E. Butler",it was amazing,19
127,"The Amazing Adventures of Kavalier & Clay, Michael Chabon",it was amazing,19
127,"V for Vendetta, Alan Moore",really liked it,19
127,"The Hobbit, or There and Back Again, J.R.R. Tolkien",it was amazing,19
127,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,19
127,"Transmetropolitan, Vol. 1: Back on the Street, Warren Ellis",really liked it,19
127,"Fahrenheit 451, Ray Bradbury",really liked it,19
127,"Watchmen, Alan Moore",really liked it,19
127,"Alex + Ada, Vol. 1, Jonathan Luna",really liked it,19
127,"Fight Club, Chuck Palahniuk",it was amazing,19
127,"The Gunslinger, Stephen King",really liked it,19
128,"Brave New World, Aldous Huxley",really liked it,3
128,"Fahrenheit 451, Ray Bradbury",it was amazing,3
128,"Animal Farm, George Orwell",liked it,3
132,"Animal Farm, George Orwell",it was amazing,7
132,"1984, George Orwell",it was amazing,7
132,"Alice's Adventures in Wonderland, Lewis Carroll",really liked it,7
132,"The Alchemist, Paolo Bacigalupi",it was amazing,7
132,"Lord of the Flies, William Golding",really liked it,7
132,"Fahrenheit 451, Ray Bradbury",it was amazing,7
132,"The Martian, Andy Weir",it was amazing,7
136,"The Eleventh Plague, Jeff Hirsch",liked it,5
136,"The Time Traveler's Wife, Audrey Niffenegger",liked it,5
139,"The Island, Peter Watts",it was amazing,5
139,"The Island, Peter Watts",it was amazing,5
139,"The Valley of Horses, Jean M. Auel",it was amazing,5
139,"Summerland, Hannu Rajaniemi",really liked it,5
139,"Winter's Tale, Mark Helprin",it was amazing,5
141,"The Handmaid's Tale, Margaret Atwood",really liked it,5
141,"Catch-22, Joseph Heller",really liked it,5
141,"The Alchemist, Paolo Bacigalupi",liked it,5
141,"The Phantom Tollbooth, Norton Juster",really liked it,5
143,"World War Z: An Oral History of the Zombie War, Max Brooks",really liked it,20
143,"The Windup Girl, Paolo Bacigalupi",it was amazing,20
143,"Pump Six and Other Stories, Paolo Bacigalupi",it was amazing,20
143,"The Phantom Tollbooth, Norton Juster",it was amazing,20
143,"1984, George Orwell",liked it,20
143,"The Alchemist, Paolo Bacigalupi",really liked it,20
143,"Slaughterhouse-Five, Kurt Vonnegut Jr.",it was amazing,20
143,"Foucault's Pendulum, Umberto Eco",liked it,20
143,"Against the Day, Thomas Pynchon",really liked it,20
143,"Cryptonomicon, Neal Stephenson",liked it,20
143,"Snow Crash, Neal Stephenson",liked it,20
143,"A Connecticut Yankee in King Arthur's Court, Mark Twain",liked it,20
143,"The Trial, Franz Kafka",liked it,20
143,"The Amazing Adventures of Kavalier & Clay, Michael Chabon",really liked it,20
143,"The Hobbit, or There and Back Again, J.R.R. Tolkien",really liked it,20
143,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch, Terry Pratchett",really liked it,20
143,"The Yiddish Policemen's Union, Michael Chabon",it was amazing,20
143,"Jonathan Strange & Mr Norrell, Susanna Clarke",it was amazing,20
143,"Catch-22, Joseph Heller",it was amazing,20
147,"The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage, Clifford Stoll",really liked it,2
148,"The Little Prince, Antoine de Saint-Exupéry",it was amazing,4
150,"Landline, Rainbow Rowell",liked it,7
150,"The Little Prince, Antoine de Saint-Exupéry",liked it,7
150,"Atlas Shrugged, Ayn Rand",liked it,7
150,"1984, George Orwell",really liked it,7
150,"A Christmas Carol, Charles Dickens",liked it,7
150,"Brave New World, Aldous Huxley",really liked it,7
150,"Life After Life, Kate Atkinson",really liked it,7
151,"The Time Traveler's Wife, Audrey Niffenegger",really liked it,3
151,"Three Wishes, Lisa Tawn Bergren",it was amazing,3
151,"Landline, Rainbow Rowell",it was amazing,3
156,"The Historian, Elizabeth Kostova",really liked it,6
156,"The Amazing Adventures of Kavalier & Clay, Michael Chabon",liked it,6
156,"The Time Traveler's Wife, Audrey Niffenegger",it was amazing,6
156,"This Must Be the Place, John Scalzi",liked it,6
166,"Uprooted, Naomi Novik",really liked it,65
166,"Kindred, Octavia E. Butler",it was amazing,65
166,"The Rest of Us Just Live Here, Patrick Ness",really liked it,65
166,"Life After Life, Kate Atkinson",really liked it,65
166,"Utopia, Thomas More",liked it,65
166,"Utopia, Thomas More",liked it,65
166,"Utopia, Thomas More",liked it,65
166,"Gold Fame Citrus, Claire Vaye Watkins",really liked it,65
166,"1984, George Orwell",liked it,65
166,"Lexicon, Max Barry",really liked it,65
166,"The River of No Return, Bee Ridgway",liked it,65
166,"Angelmaker, Nick Harkaway",really liked it,65
166,"11/22/63, Stephen King",really liked it,65
166,"The Road, Cormac McCarthy",really liked it,65
166,"The Underground Railroad, Colson Whitehead",really liked it,65
166,"MaddAddam, Margaret Atwood",really liked it,65
166,"Watchmen, Alan Moore",really liked it,65
166,"Landline, Rainbow Rowell",liked it,65
166,"The Time Traveler's Wife, Audrey Niffenegger",liked it,65
166,"Jonathan Strange & Mr Norrell, Susanna Clarke",liked it,65
166,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch, Terry Pratchett",really liked it,65
166,"The Yiddish Policemen's Union, Michael Chabon",really liked it,65
166,"The Shining Girls, Lauren Beukes",really liked it,65
166,"Herland, Charlotte Perkins Gilman",liked it,65
166,"A Christmas Carol, Charles Dickens",really liked it,65
166,"Lightning, Dean Koontz",liked it,65
166,"Three Wishes, Lisa Tawn Bergren",liked it,65
166,"Plan B, Sharon Lee",really liked it,65
166,"The Bone Clocks, David Mitchell",it was amazing,65
166,"Coraline, Neil Gaiman",really liked it,65
166,"Fahrenheit 451, Ray Bradbury",liked it,65
166,"The Heart Goes Last, Margaret Atwood",liked it,65
166,"The Handmaid's Tale, Margaret Atwood",really liked it,65
166,"Brave New World, Aldous Huxley",liked it,65
166,"The Hobbit, or There and Back Again, J.R.R. Tolkien",liked it,65
166,"Possession, Elana Johnson",really liked it,65
166,"Blindness, José Saramago",really liked it,65
166,"Station Eleven, Emily St. John Mandel",it was amazing,65
166,"The Library at Mount Char, Scott  Hawkins",really liked it,65
166,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,65
166,"Crosstalk, Connie Willis",really liked it,65
166,"The Fireman, Joe Hill",liked it,65
166,"Ella Minnow Pea: A Novel in Letters, Mark Dunn",liked it,65
166,"Cloud Atlas, David Mitchell",really liked it,65
166,"Run, Gillian Zane",liked it,65
166,"Run, Gillian Zane",liked it,65
166,"The Gone-Away World, Nick Harkaway",really liked it,65
166,"Ready Player One, Ernest Cline",liked it,65
166,"Never Let Me Go, Kazuo Ishiguro",really liked it,65
166,"Super Sad True Love Story, Gary Shteyngart",liked it,65
166,"The Amazing Adventures of Kavalier & Clay, Michael Chabon",really liked it,65
166,"The Age of Miracles, Karen Thompson Walker",liked it,65
166,"The Night Circus, Erin Morgenstern",liked it,65
166,"The Plot Against America, Philip Roth",really liked it,65
166,"The Prince, Kiera Cass",liked it,65
166,"The Prince, Kiera Cass",liked it,65
166,"The Past, Kenneth   Thomas",liked it,65
166,"Dark Matter, Ian Douglas",liked it,65
166,"Dark Matter, Ian Douglas",liked it,65
166,"The Martian, Andy Weir",liked it,65
166,"Foe, Iain Reid",liked it,65
169,"Lamb: The Gospel According to Biff, Christ's Childhood Pal, Christopher Moore",really liked it,7
169,"The Time Traveler's Wife, Audrey Niffenegger",it was amazing,7
169,"The Island, Peter Watts",liked it,7
169,"The Island, Peter Watts",liked it,7
169,"The Valley of Horses, Jean M. Auel",liked it,7
171,"Lucifer's Hammer, Larry Niven",really liked it,3
171,"The Silmarillion, J.R.R. Tolkien",really liked it,3
171,"The Hobbit, or There and Back Again, J.R.R. Tolkien",it was amazing,3
175,"Fahrenheit 451, Ray Bradbury",really liked it,7
175,"Darkness at Noon, Arthur Koestler",really liked it,7
175,"Lord of the Flies, William Golding",liked it,7
175,"1984, George Orwell",it was amazing,7
175,"A Clockwork Orange, Anthony Burgess",really liked it,7
175,"Animal Farm, George Orwell",it was amazing,7
175,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,7
176,"Flatland: A Romance of Many Dimensions, Edwin A. Abbott",really liked it,7
176,"Blood Sport, Lisa Smedman",liked it,7
176,"1984, George Orwell",liked it,7
176,"Alien, Alan Dean Foster",liked it,7
176,"Catch-22, Joseph Heller",liked it,7
177,"Slaughterhouse-Five, Kurt Vonnegut Jr.",really liked it,8
177,"Welcome to the Monkey House, Kurt Vonnegut Jr.",really liked it,8
177,"1984, George Orwell",really liked it,8
177,"Catch-22, Joseph Heller",really liked it,8
177,"The Gone-Away World, Nick Harkaway",it was amazing,8
177,"Cat's Cradle, Kurt Vonnegut Jr.",it was amazing,8
177,"Atlas Shrugged, Ayn Rand",really liked it,8
181,"The Hobbit, or There and Back Again, J.R.R. Tolkien",liked it,10
181,"Animal Farm, George Orwell",liked it,10
182,"The Lottery and Other Stories, Shirley Jackson",really liked it,32
182,"The Stand, Stephen King",it was amazing,32
182,"The Stranger, K.A. Applegate",it was amazing,32
182,"The Phantom Tollbooth, Norton Juster",it was amazing,32
182,"The Alchemist, Paolo Bacigalupi",really liked it,32
182,"The Running Man, Richard Bachman",really liked it,32
182,"Never Let Me Go, Kazuo Ishiguro",really liked it,32
182,"It, Stephen King",it was amazing,32
182,"Ship of Fools, Richard Paul Russo",really liked it,32
182,"Underground Airlines, Ben H. Winters",really liked it,32
182,"The Tommyknockers, Stephen King",really liked it,32
182,"The Underground Railroad, Colson Whitehead",liked it,32
182,"Lord of the Flies, William Golding",it was amazing,32
182,"Paradise, Craig Alanson",really liked it,32
182,"Moonglow, Kristen Callihan",really liked it,32
182,"A Christmas Carol, Charles Dickens",really liked it,32
182,"A Connecticut Yankee in King Arthur's Court, Mark Twain",really liked it,32
182,"Flowers for Algernon, Daniel Keyes",really liked it,32
182,"Animal Farm, George Orwell",it was amazing,32
182,"Cell, Stephen King",liked it,32
182,"Firestarter, Tara Sim",really liked it,32
182,"Firestarter, Tara Sim",really liked it,32
182,"Deception, C.J. Redwine",really liked it,32
182,"Home, Tom Abrahams",liked it,32
