ID,Book_Title,Rating,num_rating
192,The Halloween Tree,it was ok,49
192,The Demolished Man,really liked it,49
192,I Am Legend and Other Stories,liked it,49
192,The Female Man,really liked it,49
192,Galactic Pot-Healer,really liked it,49
192,The Computer Connection,liked it,49
192,The Sheep Look Up,it was amazing,49
192,Orphans of the Sky,liked it,49
192,The First Men in the Moon,liked it,49
192,The Puppet Masters,liked it,49
192,Clans of the Alphane Moon,really liked it,49
192,The Stars My Destination,really liked it,49
192,The Man in the High Castle,it was amazing,49
192,We Can Build You,liked it,49
192,A Scanner Darkly,really liked it,49
192,The Left Hand of Darkness,really liked it,49
192,The Last Man,it was amazing,49
192,Slaughterhouse-Five,really liked it,49
192,Solar Lottery,it was ok,49
192,The Martian Chronicles,really liked it,49
192,"I, Robot: The Illustrated Screenplay",liked it,49
192,Fahrenheit 451,really liked it,49
192,Dr. Futurity,liked it,49
192,Empire,liked it,49
192,Empire,liked it,49
192,Empire,liked it,49
192,A Pail of Air,liked it,49
192,Glimpses,it was amazing,49
192,The Lottery and Other Stories,it was amazing,49
192,Martian Time-Slip,really liked it,49
192,The Amazing Adventures of Kavalier & Clay,really liked it,49
192,Behold the Man,really liked it,49
192,The Invisible Man,really liked it,49
192,A Connecticut Yankee in King Arthur's Court,it was amazing,49
192,The Time Machine,really liked it,49
192,The Three Stigmata of Palmer Eldritch,it was amazing,49
192,It Can't Happen Here,liked it,49
192,The Trial,it was amazing,49
192,The Illustrated Man,it was amazing,49
192,The Island of Doctor Moreau,really liked it,49
192,What Mad Universe,liked it,49
192,"I, Robot",liked it,49
192,Lest Darkness Fall,really liked it,49
194,The Lotus Eaters,it was amazing,2
194,Flowers for Algernon,it was amazing,2
196,The Stranger,it was amazing,4
196,World War Z: An Oral History of the Zombie War,really liked it,4
196,Mort,really liked it,4
196,1984,it was amazing,4
198,The Alchemist,liked it,4
198,The Blue Sword,it was amazing,4
198,Atlas Shrugged,really liked it,4
198,1984,it was amazing,4
201,Endurance,really liked it,5
201,Endurance,really liked it,5
201,Snow Crash,liked it,5
201,Watchmen,it was amazing,5
201,The Martian,it was amazing,5
209,Maybe in Another Life,liked it,17
209,Tempting Fate,liked it,17
209,When You Reach Me,really liked it,17
209,The Time Traveler's Wife,liked it,17
209,The Book of M,it was amazing,17
209,Circe,it was amazing,17
209,I Remember You,liked it,17
209,Perfect Timing,liked it,17
209,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",it was amazing,17
209,Station Eleven,it was amazing,17
209,Beauty Queens,liked it,17
209,Before I Fall,really liked it,17
209,Under the Dome,it was ok,17
209,Lies,really liked it,17
209,Going Home,liked it,17
209,Going Home,liked it,17
209,The Golden Hour,really liked it,17
210,Dry,really liked it,5
210,The Plot Against America,really liked it,5
210,Headhunters,it was amazing,5
210,The Road,it was amazing,5
210,The Historian,liked it,5
213,Freedom,it was amazing,2
213,Freedom,it was amazing,2
216,The Handmaid's Tale,it was amazing,9
216,Fahrenheit 451,really liked it,9
216,Welcome to the Monkey House,it was amazing,9
216,Brave New World,it was amazing,9
216,Animal Farm / 1984,really liked it,9
216,"Monstress, Vol. 1: Awakening",really liked it,9
216,1984,really liked it,9
216,Lord of the Flies,really liked it,9
216,The Alchemist,liked it,9
228,Fahrenheit 451,really liked it,5
228,The Martian Chronicles,it was amazing,5
228,The Illustrated Man,really liked it,5
228,The Handmaid's Tale,really liked it,5
228,Cryptonomicon,it was amazing,5
230,The Great Dune Trilogy,it was amazing,7
230,Ready Player One,liked it,7
230,1984,it was amazing,7
230,Animal Farm,it was amazing,7
230,Snow Crash,it was amazing,7
230,The Princess Bride,it was amazing,7
230,Lord of the Flies,it was amazing,7
236,"Red, White & Royal Blue",it was amazing,6
236,Recursion,it was amazing,6
236,Uprooted,it was amazing,6
236,Never Let Me Go,really liked it,6
236,The Farm,really liked it,6
236,The Farm,really liked it,6
237,1984,it was amazing,10
237,Welcome to the Monkey House,it was amazing,10
237,Fahrenheit 451,it was amazing,10
237,The Sirens of Titan,it was amazing,10
237,Brave New World,it was amazing,10
237,Slaughterhouse-Five,it was amazing,10
237,Cat's Cradle,it was amazing,10
237,Animal Farm,it was amazing,10
237,Galápagos,really liked it,10
237,The Handmaid's Tale,it was amazing,10
242,1984,really liked it,7
242,The Intuitionist,really liked it,7
242,Cloud Atlas,it was amazing,7
242,Invitation to a Beheading,liked it,7
242,The Plot Against America,really liked it,7
242,Hard-Boiled Wonderland and the End of the World,really liked it,7
242,The Amazing Adventures of Kavalier & Clay,really liked it,7
244,The Alchemist,it was ok,2
244,Cosmicomics,it was amazing,2
250,Future Home of the Living God,it was ok,27
250,Winter,really liked it,27
250,Winter,really liked it,27
250,1984,liked it,27
250,On Such a Full Sea,really liked it,27
250,Freedom,it was ok,27
250,Freedom,it was ok,27
250,Never Let Me Go,really liked it,27
250,Mortality,liked it,27
250,V for Vendetta,it was ok,27
250,City on Fire,it was ok,27
250,American War,liked it,27
250,The Forever War,it was amazing,27
250,Cat's Cradle,really liked it,27
250,Catch-22,it was amazing,27
250,The Road,really liked it,27
250,The Buried Giant,really liked it,27
250,Blindness,really liked it,27
250,Autumn,really liked it,27
250,Hard-Boiled Wonderland and the End of the World,it was amazing,27
250,Brave New World,really liked it,27
250,Station Eleven,it was amazing,27
250,The Wall,liked it,27
250,The Wall,liked it,27
250,Slaughterhouse-Five,really liked it,27
250,A Working Theory of Love,it was ok,27
250,Super Sad True Love Story,really liked it,27
251,1984,liked it,8
251,Brave New World,really liked it,8
251,The Invention of Hugo Cabret,really liked it,8
251,The Alchemist,liked it,8
251,The Underground Railroad,really liked it,8
251,The Da Vinci Code,liked it,8
251,Fahrenheit 451,it was amazing,8
251,Catch-22,liked it,8
253,Watership Down,it was amazing,4
253,The Time Traveler's Wife,really liked it,4
253,1984,really liked it,4
253,The Alchemist,really liked it,4
255,The Da Vinci Code,really liked it,2
255,1984,really liked it,2
256,Kraken,did not like it,13
256,City of Glass,liked it,13
256,Brave New World,really liked it,13
256,The Da Vinci Code,liked it,13
256,The War of the Worlds,it was amazing,13
256,The Historian,really liked it,13
256,Flashforward,liked it,13
256,The Alchemist,really liked it,13
256,Fahrenheit 451,really liked it,13
256,Dracula,really liked it,13
256,1984,really liked it,13
256,Seveneves,it was ok,13
256,London,really liked it,13
259,Wicked: The Life and Times of the Wicked Witch of the West,really liked it,3
259,The Da Vinci Code,it was ok,3
259,"The Hobbit, or There and Back Again",really liked it,3
260,Never Let Me Go,it was amazing,13
260,The Time Traveler's Wife,it was amazing,13
260,Away,liked it,13
260,The House on the Strand,it was ok,13
260,The Dead,really liked it,13
260,Alif the Unseen,liked it,13
260,Cloud Atlas,really liked it,13
260,Possession,it was amazing,13
260,Time of My Life,it was ok,13
260,The Stranger,liked it,13
260,Sanctuary,liked it,13
260,Sanctuary,liked it,13
260,The Plague,it was amazing,13
262,Sanctuary,really liked it,2
262,Sanctuary,really liked it,2
266,Darkness at Noon,really liked it,13
266,Catch-22,it was amazing,13
266,Cloud Atlas,it was amazing,13
266,The Intuitionist,really liked it,13
266,Hard-Boiled Wonderland and the End of the World,really liked it,13
266,Slaughterhouse-Five,it was amazing,13
266,The Road,it was amazing,13
266,Animal Farm,really liked it,13
266,Cat's Cradle,it was amazing,13
266,Lord of the Flies,really liked it,13
266,Brave New World,really liked it,13
266,1984,it was amazing,13
266,The Silmarillion,really liked it,13
270,Cat's Cradle,really liked it,21
270,The Da Vinci Code,liked it,21
270,Slaughterhouse-Five,really liked it,21
270,Welcome to the Monkey House,really liked it,21
270,"Alas, Babylon",it was amazing,21
270,Anthem,liked it,21
270,"The Hobbit, or There and Back Again",really liked it,21
270,Animal Farm,liked it,21
270,Fahrenheit 451,really liked it,21
270,Dracula,liked it,21
270,Timeline,liked it,21
270,1984,really liked it,21
270,Brave New World,really liked it,21
270,Catch-22,really liked it,21
270,Atlas Shrugged,it was ok,21
270,Prey,liked it,21
